2026-06-04T03:57:59.509655 | ID:355 | fall | 检测到人员摔倒
2026-06-04T03:58:06.528522 | ID:356 | fall | 检测到人员摔倒
2026-06-04T03:58:06.528765 | ID:357 | fall | 检测到人员摔倒
2026-06-04T03:58:06.528843 | ID:358 | fall | 检测到人员摔倒
2026-06-04T03:58:06.528917 | ID:359 | fall | 检测到人员摔倒
2026-06-04T03:58:07.530221 | ID:360 | fall | 检测到人员摔倒
2026-06-04T03:58:07.530434 | ID:361 | fall | 检测到人员摔倒
2026-06-04T03:58:08.536376 | ID:362 | fall | 检测到人员摔倒
2026-06-04T03:58:08.536588 | ID:363 | fall | 检测到人员摔倒
2026-06-04T03:58:08.536646 | ID:364 | fall | 检测到人员摔倒
2026-06-04T03:58:08.536691 | ID:365 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542419 | ID:366 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542629 | ID:367 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542689 | ID:368 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542734 | ID:369 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542792 | ID:370 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542832 | ID:371 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542875 | ID:372 | fall | 检测到人员摔倒
2026-06-04T03:58:09.542913 | ID:373 | fall | 检测到人员摔倒
2026-06-04T03:58:10.544086 | ID:374 | fall | 检测到人员摔倒
2026-06-04T03:58:10.544531 | ID:375 | fall | 检测到人员摔倒
2026-06-04T03:58:19.625545 | ID:376 | fall | 检测到人员摔倒
2026-06-04T03:58:19.625754 | ID:377 | fall | 检测到人员摔倒
2026-06-04T03:58:20.626505 | ID:378 | fall | 检测到人员摔倒
